,price,brand,year,title_status,mileage,color,state,country,condition
0,6300,toyota,2008,clean vehicle,274117.0,black,new jersey, usa,10 days left
1,2899,ford,2011,clean vehicle,190552.0,silver,tennessee, usa,6 days left
2,5350,dodge,2018,clean vehicle,39590.0,silver,georgia, usa,2 days left
3,25000,ford,2014,clean vehicle,64146.0,blue,virginia, usa,22 hours left
4,27700,chevrolet,2018,clean vehicle,6654.0,red,florida, usa,22 hours left
5,5700,dodge,2018,clean vehicle,45561.0,white,texas, usa,2 days left
6,7300,chevrolet,2010,clean vehicle,149050.0,black,georgia, usa,22 hours left
7,13350,gmc,2017,clean vehicle,23525.0,gray,california, usa,20 hours left
8,14600,chevrolet,2018,clean vehicle,9371.0,silver,florida, usa,22 hours left
9,5250,ford,2017,clean vehicle,63418.0,black,texas, usa,2 days left
10,10400,dodge,2009,clean vehicle,107856.0,orange,georgia, usa,22 hours left
11,12920,gmc,2017,clean vehicle,39650.0,white,california, usa,20 hours left
12,31900,chevrolet,2018,clean vehicle,22909.0,black,tennessee, usa,22 hours left
13,5430,chrysler,2017,clean vehicle,138650.0,gray,texas, usa,2 days left
14,20700,ford,2013,clean vehicle,100757.0,black,virginia, usa,22 hours left
15,12710,gmc,2017,clean vehicle,25747.0,white,california, usa,20 hours left
16,5200,kia,2018,clean vehicle,46194.0,blue,north carolina, usa,2 days left
17,16500,buick,2018,clean vehicle,20002.0,red,tennessee, usa,22 hours left
18,5210,ford,2017,clean vehicle,35714.0,white,texas, usa,2 days left
19,38100,ford,2013,clean vehicle,54380.0,gray,virginia, usa,22 hours left
20,12520,gmc,2017,clean vehicle,30114.0,white,california, usa,20 hours left
21,7300,kia,2018,clean vehicle,38823.0,black,north carolina, usa,2 days left
22,15000,chevrolet,2015,clean vehicle,61578.0,black,ohio, usa,2 days left
23,6180,ford,2017,clean vehicle,46010.0,blue,texas, usa,2 days left
24,20800,ford,2013,clean vehicle,105510.0,silver,virginia, usa,22 hours left
25,11900,gmc,2017,clean vehicle,28040.0,silver,california, usa,20 hours left
26,21500,kia,2020,clean vehicle,11451.0,blue,north carolina, usa,2 days left
27,12000,buick,2014,clean vehicle,31039.0,brown,ohio, usa,2 days left
28,4190,ford,2017,clean vehicle,44174.0,white,texas, usa,2 days left
29,13000,ford,2008,clean vehicle,93698.0,white,tennessee, usa,22 hours left
30,12710,gmc,2017,clean vehicle,26364.0,silver,california, usa,20 hours left
31,18500,infiniti,2016,clean vehicle,71967.0,gray,new york, usa,19 hours left
32,29800,chevrolet,1973,clean vehicle,46226.0,red,pennsylvania, usa,22 hours left
33,5330,ford,2017,clean vehicle,37792.0,no_color,texas, usa,2 days left
34,13000,ford,2003,clean vehicle,58817.0,gray,virginia, usa,22 hours left
35,11900,gmc,2017,clean vehicle,27965.0,black,california, usa,20 hours left
36,16600,mercedes-benz,2016,clean vehicle,110907.0,white,new york, usa,19 hours left
37,19200,chevrolet,2018,clean vehicle,2430.0,white,tennessee, usa,22 hours left
38,7320,ford,2017,clean vehicle,32366.0,gold,texas, usa,2 days left
39,7000,ford,2003,clean vehicle,176567.0,white,tennessee, usa,22 hours left
40,12710,gmc,2017,clean vehicle,30049.0,white,california, usa,20 hours left
41,16600,mercedes-benz,2016,clean vehicle,97983.0,white,new york, usa,19 hours left
42,30500,chevrolet,2018,clean vehicle,30442.0,red,tennessee, usa,22 hours left
43,6330,ford,2017,clean vehicle,38123.0,red,texas, usa,2 days left
44,55000,ford,2017,clean vehicle,15273.0,black,pennsylvania, usa,3 days left
45,12520,gmc,2017,clean vehicle,28972.0,black,california, usa,20 hours left
46,16200,jeep,2019,clean vehicle,30061.0,red,north carolina, usa,2 days left
47,19000,chevrolet,2017,clean vehicle,18414.0,white,tennessee, usa,22 hours left
48,5580,dodge,2017,clean vehicle,46829.0,gray,texas, usa,2 days left
49,54000,ford,2017,clean vehicle,26241.0,black,pennsylvania, usa,3 days left
50,12710,gmc,2017,clean vehicle,39886.0,red,california, usa,20 hours left
51,16000,jeep,2019,clean vehicle,31594.0,silver,north carolina, usa,2 days left
52,27000,buick,2017,clean vehicle,32107.0,no_color,tennessee, usa,22 hours left
53,7760,ford,2017,clean vehicle,44794.0,gray,texas, usa,2 days left
54,19600,chrysler,2019,clean vehicle,42648.0,gray,south carolina, usa,22 hours left
55,12920,gmc,2017,clean vehicle,39165.0,silver,california, usa,20 hours left
56,20000,jeep,2019,clean vehicle,38355.0,charcoal,north carolina, usa,2 days left
57,18100,buick,2017,clean vehicle,46766.0,silver,florida, usa,2 days left
58,23000,chrysler,2020,clean vehicle,2473.0,white,ohio, usa,2 days left
59,18500,chrysler,2019,clean vehicle,38586.0,gray,south carolina, usa,22 hours left
60,13490,gmc,2017,clean vehicle,27842.0,white,california, usa,20 hours left
61,20700,jeep,2019,clean vehicle,31156.0,white,north carolina, usa,2 days left
62,17800,chevrolet,2017,clean vehicle,52435.0,black,florida, usa,22 hours left
63,6650,ford,2017,clean vehicle,29942.0,black,texas, usa,2 days left
64,29100,chrysler,2019,clean vehicle,25281.0,red,south carolina, usa,22 hours left
65,12710,gmc,2017,clean vehicle,32504.0,silver,california, usa,20 hours left
66,21100,jeep,2019,clean vehicle,28649.0,silver,north carolina, usa,2 days left
67,18600,chevrolet,2017,clean vehicle,35200.0,white,florida, usa,22 hours left
68,4340,ford,2017,clean vehicle,25602.0,silver,texas, usa,2 days left
69,19300,chrysler,2019,clean vehicle,34801.0,gray,south carolina, usa,22 hours left
70,12780,gmc,2017,clean vehicle,31009.0,black,california, usa,20 hours left
71,15800,jeep,2019,clean vehicle,35595.0,charcoal,north carolina, usa,2 days left
72,29400,bmw,2017,clean vehicle,23765.0,black,tennessee, usa,22 hours left
73,4430,ford,2017,clean vehicle,31792.0,black,texas, usa,2 days left
74,19400,chrysler,2019,clean vehicle,33135.0,gray,south carolina, usa,22 hours left
75,12520,gmc,2017,clean vehicle,30636.0,red,california, usa,20 hours left
76,15900,jeep,2019,clean vehicle,34502.0,red,north carolina, usa,2 days left
77,26400,buick,2017,clean vehicle,25434.0,white,florida, usa,22 hours left
78,4140,ford,2017,clean vehicle,36732.0,black,texas, usa,2 days left
79,18300,chrysler,2019,clean vehicle,41792.0,gray,south carolina, usa,22 hours left
80,12520,gmc,2017,clean vehicle,31992.0,black,california, usa,20 hours left
81,17900,jeep,2019,clean vehicle,32501.0,red,north carolina, usa,2 days left
82,18300,chevrolet,2017,clean vehicle,28395.0,black,florida, usa,22 hours left
83,4640,ford,2017,clean vehicle,36139.0,blue,texas, usa,2 days left
84,24000,ford,2016,clean vehicle,84413.0,black,pennsylvania, usa,3 days left
85,13200,gmc,2017,clean vehicle,33457.0,white,california, usa,20 hours left
86,18000,jeep,2019,clean vehicle,29245.0,gray,north carolina, usa,2 days left
87,14900,chevrolet,2017,clean vehicle,12783.0,silver,florida, usa,22 hours left
88,4140,ford,2017,clean vehicle,17617.0,white,texas, usa,2 days left
89,11500,ford,2016,clean vehicle,36855.0,black,pennsylvania, usa,2 days left
90,9110,ford,2017,clean vehicle,110316.0,white,texas, usa,2 days left
91,7350,chrysler,2015,clean vehicle,88227.0,black,pennsylvania, usa,2 days left
92,24500,bmw,2017,clean vehicle,17626.0,gray,michigan, usa,2 days left
93,9300,ford,2017,clean vehicle,120353.0,white,texas, usa,2 days left
94,39800,dodge,2015,clean vehicle,3641.0,white,pennsylvania, usa,2 days left
95,53500,bmw,2017,clean vehicle,29355.0,blue,michigan, usa,2 days left
96,15110,ford,2017,clean vehicle,39333.0,black,texas, usa,2 days left
97,34000,ford,2015,clean vehicle,42930.0,white,pennsylvania, usa,2 days left
98,26502,chevrolet,2017,clean vehicle,24993.0,black,michigan, usa,20 hours left
99,5990,ford,2017,clean vehicle,44929.0,black,texas, usa,2 days left
100,13600,ford,2018,clean vehicle,16971.0,black,south carolina, usa,21 hours left
101,23605,cadillac,2017,clean vehicle,35598.0,gray,michigan, usa,2 days left
102,10780,ford,2017,clean vehicle,40455.0,white,texas, usa,2 days left
103,13800,ford,2018,clean vehicle,23164.0,white,south carolina, usa,21 hours left
104,25201,cadillac,2017,clean vehicle,19011.0,no_color,michigan, usa,2 days left
105,7070,ford,2017,clean vehicle,45191.0,white,texas, usa,2 days left
