,price,year,mileage,clusters,cluster
1,2899,2011,190552.0,0,pink
2,5350,2018,39590.0,1,purple
3,25000,2014,64146.0,2,dark purple
4,27700,2018,6654.0,1,purple
5,5700,2018,45561.0,1,purple
6,7300,2010,149050.0,0,pink
7,13350,2017,23525.0,1,purple
8,14600,2018,9371.0,1,purple
9,5250,2017,63418.0,2,dark purple
10,10400,2009,107856.0,2,dark purple
11,12920,2017,39650.0,1,purple
12,31900,2018,22909.0,1,purple
13,5430,2017,138650.0,0,pink
14,20700,2013,100757.0,2,dark purple
15,12710,2017,25747.0,1,purple
16,5200,2018,46194.0,1,purple
17,16500,2018,20002.0,1,purple
18,5210,2017,35714.0,1,purple
19,38100,2013,54380.0,1,purple
20,12520,2017,30114.0,1,purple
21,7300,2018,38823.0,1,purple
22,15000,2015,61578.0,2,dark purple
23,6180,2017,46010.0,1,purple
24,20800,2013,105510.0,2,dark purple
25,11900,2017,28040.0,1,purple
26,21500,2020,11451.0,1,purple
27,12000,2014,31039.0,1,purple
28,4190,2017,44174.0,1,purple
29,13000,2008,93698.0,2,dark purple
30,12710,2017,26364.0,1,purple
31,18500,2016,71967.0,2,dark purple
33,5330,2017,37792.0,1,purple
35,11900,2017,27965.0,1,purple
36,16600,2016,110907.0,2,dark purple
37,19200,2018,2430.0,1,purple
38,7320,2017,32366.0,1,purple
40,12710,2017,30049.0,1,purple
41,16600,2016,97983.0,2,dark purple
42,30500,2018,30442.0,1,purple
43,6330,2017,38123.0,1,purple
44,55000,2017,15273.0,1,purple
45,12520,2017,28972.0,1,purple
46,16200,2019,30061.0,1,purple
47,19000,2017,18414.0,1,purple
48,5580,2017,46829.0,1,purple
49,54000,2017,26241.0,1,purple
50,12710,2017,39886.0,1,purple
51,16000,2019,31594.0,1,purple
52,27000,2017,32107.0,1,purple
53,7760,2017,44794.0,1,purple
54,19600,2019,42648.0,1,purple
55,12920,2017,39165.0,1,purple
56,20000,2019,38355.0,1,purple
57,18100,2017,46766.0,1,purple
58,23000,2020,2473.0,1,purple
59,18500,2019,38586.0,1,purple
60,13490,2017,27842.0,1,purple
61,20700,2019,31156.0,1,purple
62,17800,2017,52435.0,1,purple
63,6650,2017,29942.0,1,purple
64,29100,2019,25281.0,1,purple
65,12710,2017,32504.0,1,purple
66,21100,2019,28649.0,1,purple
67,18600,2017,35200.0,1,purple
68,4340,2017,25602.0,1,purple
69,19300,2019,34801.0,1,purple
70,12780,2017,31009.0,1,purple
71,15800,2019,35595.0,1,purple
72,29400,2017,23765.0,1,purple
73,4430,2017,31792.0,1,purple
74,19400,2019,33135.0,1,purple
75,12520,2017,30636.0,1,purple
76,15900,2019,34502.0,1,purple
77,26400,2017,25434.0,1,purple
78,4140,2017,36732.0,1,purple
79,18300,2019,41792.0,1,purple
80,12520,2017,31992.0,1,purple
81,17900,2019,32501.0,1,purple
82,18300,2017,28395.0,1,purple
